,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
33,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","Jahangirpuri, Delhi, Delhi","Delhi, Delhi, India","Jahangirpuri, Indira Vikas Colony, Model Town Tehsil, North Delhi, Delhi, 110033, India","(28.7259717, 77.162658, 0.0)",28.7259717,77.162658,
34,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi, Delhi","Delhi, Delhi, India","Jawaharlal Nehru Stadium, Bhishma Pitamah Marg, Lodhi Colony, Defence Colony Teshil, South East Delhi, Delhi, 110003, India","(28.58337705, 77.23354040287734, 0.0)",28.58337705,77.2335404,
35,Delhi,Delhi,"Lodhi Road, Delhi - IITM","Lodhi Road, Delhi, Delhi","Delhi, Delhi, India","Lodhi Road, Defence Colony Teshil, South East Delhi, Delhi, 110003, India","(28.592408, 77.2367531, 0.0)",28.592408,77.2367531,
36,Delhi,Delhi,"Lodhi Road, Delhi - IMD","Lodhi Road, Delhi, Delhi","Delhi, Delhi, India","Lodhi Road, Defence Colony Teshil, South East Delhi, Delhi, 110003, India","(28.592408, 77.2367531, 0.0)",28.592408,77.2367531,
37,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","Major Dhyan Chand National Stadium, Delhi, Delhi","Delhi, Delhi, India","Major Dhyan Chand National Stadium, Sher Shah Road, Cornwallis Colony, New Delhi, Chanakya Puri Tehsil, Delhi, 110503, India","(28.612634200000002, 77.23733038046025, 0.0)",28.6126342,77.23733038,
38,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","Mandir Marg, Delhi, Delhi","Delhi, Delhi, India","Mandir Marg, Saket, Hauz Khas Tehsil, South Delhi, Delhi, 110017, India","(28.5246601, 77.216217, 0.0)",28.5246601,77.216217,
39,Delhi,Delhi,"Mundka, Delhi - DPCC","Mundka, Delhi, Delhi","Delhi, Delhi, India","Mundka, Rohtak Road, Mundka, Punjabi Bagh Tehsil, West Delhi, Delhi, 110041, India","(28.6824341, 77.0305741, 0.0)",28.6824341,77.0305741,
40,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","NSIT Dwarka, Delhi, Delhi","Delhi, Delhi, India","NSIT, Azad Hind Fauj Marg, Nawada, Sector 3, Dwarka, Dwarka Tehsil, West Delhi, Delhi, 110078, India","(28.6082819, 77.0350079, 0.0)",28.6082819,77.0350079,
41,Delhi,Delhi,"Najafgarh, Delhi - DPCC","Najafgarh, Delhi, Delhi","Delhi, Delhi, India","Najafgarh, Najafgarh Tehsil, South West Delhi, Delhi, 110043, India","(28.612304, 76.9823908, 0.0)",28.612304,76.9823908,
42,Delhi,Delhi,"Narela, Delhi - DPCC","Narela, Delhi, Delhi","Delhi, Delhi, India","Narela, Banker, Narela Tehsil, North Delhi, Delhi, 110040, India","(28.8426096, 77.0918354, 0.0)",28.8426096,77.0918354,
43,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","Nehru Nagar, Delhi, Delhi","Delhi, Delhi, India","Nehru Nagar, Defence Colony Teshil, South East Delhi, Delhi, 110024, India","(28.5685108, 77.2513847, 0.0)",28.5685108,77.2513847,
44,Delhi,Delhi,"North Campus, DU, Delhi - IMD","North Campus, DU, Delhi, Delhi","Delhi, Delhi, India",,"(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India"
45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","Okhla Phase-2, Delhi, Delhi","Delhi, Delhi, India","Okhla Phase - II, Sarita Vihar Tehsil, South East Delhi, Delhi, India","(28.5366138, 77.2756197, 0.0)",28.5366138,77.2756197,
